pokemon,dex_number,type1,type2,generation,stage,evolves_from
forretress,205,bug,steel,II,2,pineco
dunsparce,206,normal,,II,1,
gligar,207,ground,flying,II,1,
steelix,208,steel,ground,II,2,onix
snubbull,209,fairy,,II,1,
granbull,210,fairy,,II,2,snubbull
qwilfish,211,water,poison,II,1,
scizor,212,bug,steel,II,2,scyther
shuckle,213,bug,rock,II,1,
heracross,214,bug,fighting,II,1,
sneasel,215,dark,ice,II,1,
teddiursa,216,normal,,II,1,
ursaring,217,normal,,II,2,teddiursa
slugma,218,fire,,II,1,
magcargo,219,fire,rock,II,2,slugma
swinub,220,ice,ground,II,1,
piloswine,221,ice,ground,II,2,swinub
corsola,222,water,rock,II,1,
remoraid,223,water,,II,1,
octillery,224,water,,II,2,remoraid
delibird,225,ice,flying,II,1,
mantine,226,water,flying,II,2,mantyke
skarmory,227,steel,flying,II,1,
houndour,228,dark,fire,II,1,
houndoom,229,dark,fire,II,2,houndour
kingdra,230,water,dragon,II,3,seadra
phanpy,231,ground,,II,1,
donphan,232,ground,,II,2,phanpy
porygon2,233,normal,,II,2,porygon
stantler,234,normal,,II,1,
smeargle,235,normal,,II,1,
tyrogue,236,fighting,,II,1,
hitmontop,237,fighting,,II,2,tyrogue
smoochum,238,ice,psychic,II,1,
elekid,239,electric,,II,1,
magby,240,fire,,II,1,
miltank,241,normal,,II,1,
blissey,242,normal,,II,3,chansey
raikou,243,electric,,II,1,
entei,244,fire,,II,1,
suicune,245,water,,II,1,
larvitar,246,rock,ground,II,1,
pupitar,247,rock,ground,II,2,larvitar
tyranitar,248,rock,dark,II,3,pupitar
lugia,249,psychic,flying,II,1,
ho-oh,250,fire,flying,II,1,
celebi,251,psychic,grass,II,1,
treecko,252,grass,,III,1,
grovyle,253,grass,,III,2,treecko
sceptile,254,grass,,III,3,grovyle
torchic,255,fire,,III,1,
combusken,256,fire,fighting,III,2,torchic
blaziken,257,fire,fighting,III,3,combusken
mudkip,258,water,,III,1,
marshtomp,259,water,ground,III,2,mudkip
swampert,260,water,ground,III,3,marshtomp
poochyena,261,dark,,III,1,
mightyena,262,dark,,III,2,poochyena
zigzagoon,263,normal,,III,1,
linoone,264,normal,,III,2,zigzagoon
wurmple,265,bug,,III,1,
silcoon,266,bug,,III,2,wurmple
beautifly,267,bug,flying,III,3,silcoon
cascoon,268,bug,,III,2,wurmple
dustox,269,bug,poison,III,3,cascoon
lotad,270,water,grass,III,1,
lombre,271,water,grass,III,2,lotad
ludicolo,272,water,grass,III,3,lombre
seedot,273,grass,,III,1,
nuzleaf,274,grass,dark,III,2,seedot
shiftry,275,grass,dark,III,3,nuzleaf
taillow,276,normal,flying,III,1,
swellow,277,normal,flying,III,2,taillow
wingull,278,water,flying,III,1,
pelipper,279,water,flying,III,2,wingull
ralts,280,psychic,fairy,III,1,
kirlia,281,psychic,fairy,III,2,ralts
gardevoir,282,psychic,fairy,III,3,kirlia
surskit,283,bug,water,III,1,
masquerain,284,bug,flying,III,2,surskit
shroomish,285,grass,,III,1,
breloom,286,grass,fighting,III,2,shroomish
slakoth,287,normal,,III,1,
vigoroth,288,normal,,III,2,slakoth
slaking,289,normal,,III,3,vigoroth
nincada,290,bug,ground,III,1,
ninjask,291,bug,flying,III,2,nincada
shedinja,292,bug,ghost,III,2,nincada
whismur,293,normal,,III,1,
loudred,294,normal,,III,2,whismur
exploud,295,normal,,III,3,loudred
makuhita,296,fighting,,III,1,
hariyama,297,fighting,,III,2,makuhita
azurill,298,normal,fairy,III,1,
nosepass,299,rock,,III,1,
skitty,300,normal,,III,1,
delcatty,301,normal,,III,2,skitty
sableye,302,dark,ghost,III,1,
mawile,303,steel,fairy,III,1,
aron,304,steel,rock,III,1,
lairon,305,steel,rock,III,2,aron
aggron,306,steel,rock,III,3,lairon
meditite,307,fighting,psychic,III,1,
medicham,308,fighting,psychic,III,2,meditite
electrike,309,electric,,III,1,
manectric,310,electric,,III,2,electrike
plusle,311,electric,,III,1,
minun,312,electric,,III,1,
volbeat,313,bug,,III,1,
illumise,314,bug,,III,1,
roselia,315,grass,poison,III,2,budew
gulpin,316,poison,,III,1,
swalot,317,poison,,III,2,gulpin
carvanha,318,water,dark,III,1,
sharpedo,319,water,dark,III,2,carvanha
wailmer,320,water,,III,1,
wailord,321,water,,III,2,wailmer
numel,322,fire,ground,III,1,
camerupt,323,fire,ground,III,2,numel
torkoal,324,fire,,III,1,
spoink,325,psychic,,III,1,
grumpig,326,psychic,,III,2,spoink
spinda,327,normal,,III,1,
trapinch,328,ground,,III,1,
vibrava,329,ground,dragon,III,2,trapinch
flygon,330,ground,dragon,III,3,vibrava
cacnea,331,grass,,III,1,
cacturne,332,grass,dark,III,2,cacnea
swablu,333,normal,flying,III,1,
altaria,334,dragon,flying,III,2,swablu
zangoose,335,normal,,III,1,
seviper,336,poison,,III,1,
lunatone,337,rock,psychic,III,1,
solrock,338,rock,psychic,III,1,
barboach,339,water,ground,III,1,
whiscash,340,water,ground,III,2,barboach
corphish,341,water,,III,1,
crawdaunt,342,water,dark,III,2,corphish
baltoy,343,ground,psychic,III,1,
claydol,344,ground,psychic,III,2,baltoy
lileep,345,rock,grass,III,1,
cradily,346,rock,grass,III,2,lileep
anorith,347,rock,bug,III,1,
armaldo,348,rock,bug,III,2,anorith
feebas,349,water,,III,1,
milotic,350,water,,III,2,feebas
castform,351,normal,,III,1,
kecleon,352,normal,,III,1,
shuppet,353,ghost,,III,1,
banette,354,ghost,,III,2,shuppet
duskull,355,ghost,,III,1,
dusclops,356,ghost,,III,2,duskull
tropius,357,grass,flying,III,1,
chimecho,358,psychic,,III,2,chingling
absol,359,dark,,III,1,
wynaut,360,psychic,,III,1,
snorunt,361,ice,,III,1,
glalie,362,ice,,III,2,snorunt
spheal,363,ice,water,III,1,
sealeo,364,ice,water,III,2,spheal
walrein,365,ice,water,III,3,sealeo
clamperl,366,water,,III,1,
huntail,367,water,,III,2,clamperl
gorebyss,368,water,,III,2,clamperl
relicanth,369,water,rock,III,1,
luvdisc,370,water,,III,1,
bagon,371,dragon,,III,1,
shelgon,372,dragon,,III,2,bagon
salamence,373,dragon,flying,III,3,shelgon
beldum,374,steel,psychic,III,1,
metang,375,steel,psychic,III,2,beldum
metagross,376,steel,psychic,III,3,metang
regirock,377,rock,,III,1,
regice,378,ice,,III,1,
registeel,379,steel,,III,1,
latias,380,dragon,psychic,III,1,
latios,381,dragon,psychic,III,1,
kyogre,382,water,,III,1,
groudon,383,ground,,III,1,
rayquaza,384,dragon,flying,III,1,
jirachi,385,steel,psychic,III,1,
deoxys,386,psychic,,III,1,
turtwig,387,grass,,IV,1,
grotle,388,grass,,IV,2,turtwig
torterra,389,grass,ground,IV,3,grotle
chimchar,390,fire,,IV,1,
monferno,391,fire,fighting,IV,2,chimchar
infernape,392,fire,fighting,IV,3,monferno
piplup,393,water,,IV,1,
prinplup,394,water,,IV,2,piplup
empoleon,395,water,steel,IV,3,prinplup
starly,396,normal,flying,IV,1,
staravia,397,normal,flying,IV,2,starly
staraptor,398,normal,flying,IV,3,staravia
bidoof,399,normal,,IV,1,
bibarel,400,normal,water,IV,2,bidoof
kricketot,401,bug,,IV,1,
kricketune,402,bug,,IV,2,kricketot
shinx,403,electric,,IV,1,
luxio,404,electric,,IV,2,shinx
luxray,405,electric,,IV,3,luxio
budew,406,grass,poison,IV,1,
roserade,407,grass,poison,IV,3,roselia
cranidos,408,rock,,IV,1,
rampardos,409,rock,,IV,2,cranidos
shieldon,410,rock,steel,IV,1,
bastiodon,411,rock,steel,IV,2,shieldon
burmy,412,bug,,IV,1,
wormadam,413,bug,grass,IV,2,burmy
mothim,414,bug,flying,IV,2,burmy
combee,415,bug,flying,IV,1,
vespiquen,416,bug,flying,IV,2,combee
pachirisu,417,electric,,IV,1,
buizel,418,water,,IV,1,
floatzel,419,water,,IV,2,buizel
cherubi,420,grass,,IV,1,
cherrim,421,grass,,IV,2,cherubi
shellos,422,water,,IV,1,
gastrodon,423,water,ground,IV,2,shellos
ambipom,424,normal,,IV,2,aipom
drifloon,425,ghost,flying,IV,1,
drifblim,426,ghost,flying,IV,2,drifloon
buneary,427,normal,,IV,1,
lopunny,428,normal,,IV,2,buneary
mismagius,429,ghost,,IV,2,misdreavus
honchkrow,430,dark,flying,IV,2,murkrow
glameow,431,normal,,IV,1,
purugly,432,normal,,IV,2,glameow
chingling,433,psychic,,IV,1,
stunky,434,poison,dark,IV,1,
skuntank,435,poison,dark,IV,2,stunky
bronzor,436,steel,psychic,IV,1,
bronzong,437,steel,psychic,IV,2,bronzor
bonsly,438,rock,,IV,1,
mime-jr,439,psychic,fairy,IV,1,
happiny,440,normal,,IV,1,
chatot,441,normal,flying,IV,1,
spiritomb,442,ghost,dark,IV,1,
gible,443,dragon,ground,IV,1,
gabite,444,dragon,ground,IV,2,gible
garchomp,445,dragon,ground,IV,3,gabite
munchlax,446,normal,,IV,1,
riolu,447,fighting,,IV,1,
lucario,448,fighting,steel,IV,2,riolu
hippopotas,449,ground,,IV,1,
hippowdon,450,ground,,IV,2,hippopotas
skorupi,451,poison,bug,IV,1,
drapion,452,poison,dark,IV,2,skorupi
croagunk,453,poison,fighting,IV,1,
toxicroak,454,poison,fighting,IV,2,croagunk
carnivine,455,grass,,IV,1,
finneon,456,water,,IV,1,
lumineon,457,water,,IV,2,finneon
mantyke,458,water,flying,IV,1,
snover,459,grass,ice,IV,1,
abomasnow,460,grass,ice,IV,2,snover
weavile,461,dark,ice,IV,2,sneasel
magnezone,462,electric,steel,IV,3,magneton
lickilicky,463,normal,,IV,2,lickitung
rhyperior,464,ground,rock,IV,3,rhydon
tangrowth,465,grass,,IV,2,tangela
electivire,466,electric,,IV,3,electabuzz
magmortar,467,fire,,IV,3,magmar
togekiss,468,fairy,flying,IV,3,togetic
yanmega,469,bug,flying,IV,2,yanma
leafeon,470,grass,,IV,2,eevee
glaceon,471,ice,,IV,2,eevee
gliscor,472,ground,flying,IV,2,gligar
mamoswine,473,ice,ground,IV,3,piloswine
porygon-z,474,normal,,IV,3,porygon2
gallade,475,psychic,fighting,IV,3,kirlia
probopass,476,rock,steel,IV,2,nosepass
dusknoir,477,ghost,,IV,3,dusclops
froslass,478,ice,ghost,IV,2,snorunt
rotom,479,electric,ghost,IV,1,
uxie,480,psychic,,IV,1,
mesprit,481,psychic,,IV,1,
azelf,482,psychic,,IV,1,
dialga,483,steel,dragon,IV,1,
palkia,484,water,dragon,IV,1,
heatran,485,fire,steel,IV,1,
regigigas,486,normal,,IV,1,
giratina,487,ghost,dragon,IV,1,
cresselia,488,psychic,,IV,1,
phione,489,water,,IV,1,
manaphy,490,water,,IV,2,phione
darkrai,491,dark,,IV,1,
shaymin,492,grass,,IV,1,
arceus,493,normal,,IV,1,
victini,494,psychic,fire,V,1,
snivy,495,grass,,V,1,
servine,496,grass,,V,2,snivy
serperior,497,grass,,V,3,servine
tepig,498,fire,,V,1,
pignite,499,fire,fighting,V,2,tepig
emboar,500,fire,fighting,V,3,pignite
oshawott,501,water,,V,1,
dewott,502,water,,V,2,oshawott
samurott,503,water,,V,3,dewott
patrat,504,normal,,V,1,
watchog,505,normal,,V,2,patrat
lillipup,506,normal,,V,1,
herdier,507,normal,,V,2,lillipup
stoutland,508,normal,,V,3,herdier
purrloin,509,dark,,V,1,
liepard,510,dark,,V,2,purrloin
pansage,511,grass,,V,1,
simisage,512,grass,,V,2,pansage
pansear,513,fire,,V,1,
simisear,514,fire,,V,2,pansear
panpour,515,water,,V,1,
simipour,516,water,,V,2,panpour
munna,517,psychic,,V,1,
musharna,518,psychic,,V,2,munna
pidove,519,normal,flying,V,1,
tranquill,520,normal,flying,V,2,pidove
unfezant,521,normal,flying,V,3,tranquill
blitzle,522,electric,,V,1,
zebstrika,523,electric,,V,2,blitzle
roggenrola,524,rock,,V,1,
boldore,525,rock,,V,2,roggenrola
gigalith,526,rock,,V,3,boldore
woobat,527,psychic,flying,V,1,
swoobat,528,psychic,flying,V,2,woobat
drilbur,529,ground,,V,1,
excadrill,530,ground,steel,V,2,drilbur
audino,531,normal,,V,1,
timburr,532,fighting,,V,1,
gurdurr,533,fighting,,V,2,timburr
conkeldurr,534,fighting,,V,3,gurdurr
tympole,535,water,,V,1,
palpitoad,536,water,ground,V,2,tympole
seismitoad,537,water,ground,V,3,palpitoad
throh,538,fighting,,V,1,
sawk,539,fighting,,V,1,
sewaddle,540,bug,grass,V,1,
swadloon,541,bug,grass,V,2,sewaddle
leavanny,542,bug,grass,V,3,swadloon
venipede,543,bug,poison,V,1,
whirlipede,544,bug,poison,V,2,venipede
scolipede,545,bug,poison,V,3,whirlipede
cottonee,546,grass,fairy,V,1,
whimsicott,547,grass,fairy,V,2,cottonee
petilil,548,grass,,V,1,
lilligant,549,grass,,V,2,petilil
basculin,550,water,,V,1,
sandile,551,ground,dark,V,1,
krokorok,552,ground,dark,V,2,sandile
krookodile,553,ground,dark,V,3,krokorok
darumaka,554,fire,,V,1,
darmanitan,555,fire,,V,2,darumaka
maractus,556,grass,,V,1,
dwebble,557,bug,rock,V,1,
crustle,558,bug,rock,V,2,dwebble
scraggy,559,dark,fighting,V,1,
scrafty,560,dark,fighting,V,2,scraggy
sigilyph,561,psychic,flying,V,1,
yamask,562,ghost,,V,1,
cofagrigus,563,ghost,,V,2,yamask
tirtouga,564,water,rock,V,1,
carracosta,565,water,rock,V,2,tirtouga
archen,566,rock,flying,V,1,
archeops,567,rock,flying,V,2,archen
trubbish,568,poison,,V,1,
garbodor,569,poison,,V,2,trubbish
zorua,570,dark,,V,1,
zoroark,571,dark,,V,2,zorua
minccino,572,normal,,V,1,
cinccino,573,normal,,V,2,minccino
gothita,574,psychic,,V,1,
gothorita,575,psychic,,V,2,gothita
gothitelle,576,psychic,,V,3,gothorita
solosis,577,psychic,,V,1,
duosion,578,psychic,,V,2,solosis
reuniclus,579,psychic,,V,3,duosion
ducklett,580,water,flying,V,1,
swanna,581,water,flying,V,2,ducklett
vanillite,582,ice,,V,1,
vanillish,583,ice,,V,2,vanillite
vanilluxe,584,ice,,V,3,vanillish
deerling,585,normal,grass,V,1,
sawsbuck,586,normal,grass,V,2,deerling
emolga,587,electric,flying,V,1,
karrablast,588,bug,,V,1,
escavalier,589,bug,steel,V,2,karrablast
foongus,590,grass,poison,V,1,
amoonguss,591,grass,poison,V,2,foongus
frillish,592,water,ghost,V,1,
jellicent,593,water,ghost,V,2,frillish
alomomola,594,water,,V,1,
joltik,595,bug,electric,V,1,
galvantula,596,bug,electric,V,2,joltik
ferroseed,597,grass,steel,V,1,
ferrothorn,598,grass,steel,V,2,ferroseed
klink,599,steel,,V,1,
klang,600,steel,,V,2,klink
klinklang,601,steel,,V,3,klang
tynamo,602,electric,,V,1,
eelektrik,603,electric,,V,2,tynamo
eelektross,604,electric,,V,3,eelektrik
elgyem,605,psychic,,V,1,
beheeyem,606,psychic,,V,2,elgyem
litwick,607,ghost,fire,V,1,
lampent,608,ghost,fire,V,2,litwick
chandelure,609,ghost,fire,V,3,lampent
axew,610,dragon,,V,1,
fraxure,611,dragon,,V,2,axew
haxorus,612,dragon,,V,3,fraxure
cubchoo,613,ice,,V,1,
beartic,614,ice,,V,2,cubchoo
cryogonal,615,ice,,V,1,
shelmet,616,bug,,V,1,
accelgor,617,bug,,V,2,shelmet
stunfisk,618,ground,electric,V,1,
mienfoo,619,fighting,,V,1,
mienshao,620,fighting,,V,2,mienfoo
druddigon,621,dragon,,V,1,
golett,622,ground,ghost,V,1,
golurk,623,ground,ghost,V,2,golett
pawniard,624,dark,steel,V,1,
bisharp,625,dark,steel,V,2,pawniard
bouffalant,626,normal,,V,1,
rufflet,627,normal,flying,V,1,
braviary,628,normal,flying,V,2,rufflet
vullaby,629,dark,flying,V,1,
mandibuzz,630,dark,flying,V,2,vullaby
heatmor,631,fire,,V,1,
durant,632,bug,steel,V,1,
deino,633,dark,dragon,V,1,
zweilous,634,dark,dragon,V,2,deino
hydreigon,635,dark,dragon,V,3,zweilous
larvesta,636,bug,fire,V,1,
volcarona,637,bug,fire,V,2,larvesta
cobalion,638,steel,fighting,V,1,
terrakion,639,rock,fighting,V,1,
virizion,640,grass,fighting,V,1,
tornadus,641,flying,,V,1,
thundurus,642,electric,flying,V,1,
reshiram,643,dragon,fire,V,1,
zekrom,644,dragon,electric,V,1,
landorus,645,ground,flying,V,1,
kyurem,646,dragon,ice,V,1,
keldeo,647,water,fighting,V,1,
meloetta,648,normal,psychic,V,1,
genesect,649,bug,steel,V,1,
chespin,650,grass,,VI,1,
quilladin,651,grass,,VI,2,chespin
chesnaught,652,grass,fighting,VI,3,quilladin
fennekin,653,fire,,VI,1,
braixen,654,fire,,VI,2,fennekin
delphox,655,fire,psychic,VI,3,braixen
froakie,656,water,,VI,1,
frogadier,657,water,,VI,2,froakie
greninja,658,water,dark,VI,3,frogadier
bunnelby,659,normal,,VI,1,
diggersby,660,normal,ground,VI,2,bunnelby
fletchling,661,normal,flying,VI,1,
fletchinder,662,fire,flying,VI,2,fletchling
talonflame,663,fire,flying,VI,3,fletchinder
scatterbug,664,bug,,VI,1,
spewpa,665,bug,,VI,2,scatterbug
vivillon,666,bug,flying,VI,3,spewpa
litleo,667,fire,normal,VI,1,
pyroar,668,fire,normal,VI,2,litleo
flabebe,669,fairy,,VI,1,
floette,670,fairy,,VI,2,flabebe
florges,671,fairy,,VI,3,floette
skiddo,672,grass,,VI,1,
gogoat,673,grass,,VI,2,skiddo
pancham,674,fighting,,VI,1,
pangoro,675,fighting,dark,VI,2,pancham
furfrou,676,normal,,VI,1,
espurr,677,psychic,,VI,1,
meowstic,678,psychic,,VI,2,espurr
honedge,679,steel,ghost,VI,1,
doublade,680,steel,ghost,VI,2,honedge
aegislash,681,steel,ghost,VI,3,doublade
spritzee,682,fairy,,VI,1,
aromatisse,683,fairy,,VI,2,spritzee
swirlix,684,fairy,,VI,1,
slurpuff,685,fairy,,VI,2,swirlix
inkay,686,dark,psychic,VI,1,
malamar,687,dark,psychic,VI,2,inkay
binacle,688,rock,water,VI,1,
barbaracle,689,rock,water,VI,2,binacle
skrelp,690,poison,water,VI,1,
dragalge,691,poison,dragon,VI,2,skrelp
clauncher,692,water,,VI,1,
clawitzer,693,water,,VI,2,clauncher
helioptile,694,electric,normal,VI,1,
heliolisk,695,electric,normal,VI,2,helioptile
tyrunt,696,rock,dragon,VI,1,
tyrantrum,697,rock,dragon,VI,2,tyrunt
amaura,698,rock,ice,VI,1,
aurorus,699,rock,ice,VI,2,amaura
sylveon,700,fairy,,VI,2,eevee
hawlucha,701,fighting,flying,VI,1,
dedenne,702,electric,fairy,VI,1,
carbink,703,rock,fairy,VI,1,
goomy,704,dragon,,VI,1,
sliggoo,705,dragon,,VI,2,goomy
goodra,706,dragon,,VI,3,sliggoo
klefki,707,steel,fairy,VI,1,
phantump,708,ghost,grass,VI,1,
trevenant,709,ghost,grass,VI,2,phantump
pumpkaboo,710,ghost,grass,VI,1,
gourgeist,711,ghost,grass,VI,2,pumpkaboo
bergmite,712,ice,,VI,1,
avalugg,713,ice,,VI,2,bergmite
noibat,714,flying,dragon,VI,1,
noivern,715,flying,dragon,VI,2,noibat
xerneas,716,fairy,,VI,1,
yveltal,717,dark,flying,VI,1,
zygarde,718,dragon,ground,VI,1,
diancie,719,rock,fairy,VI,1,
hoopa,720,psychic,ghost,VI,1,
volcanion,721,fire,water,VI,1,
rowlet,722,grass,flying,VII,1,
dartrix,723,grass,flying,VII,2,rowlet
decidueye,724,grass,ghost,VII,3,dartrix
litten,725,fire,,VII,1,
torracat,726,fire,,VII,2,litten
incineroar,727,fire,dark,VII,3,torracat
popplio,728,water,,VII,1,
brionne,729,water,,VII,2,popplio
primarina,730,water,fairy,VII,3,brionne
pikipek,731,normal,flying,VII,1,
trumbeak,732,normal,flying,VII,2,pikipek
toucannon,733,normal,flying,VII,3,trumbeak
yungoos,734,normal,,VII,1,
gumshoos,735,normal,,VII,2,yungoos
grubbin,736,bug,,VII,1,
charjabug,737,bug,electric,VII,2,grubbin
vikavolt,738,bug,electric,VII,3,charjabug
